06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:05:40.587 11275-11812/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 70001,375,378,124,125,125,124,1,1,125,128,0,0,215516,218086,11,0
06-26 16:05:40.597 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 70002,380,385,125,127,127,124,1,0,127,134,0,0,218236,219428,11,0
06-26 16:05:40.607 11275-11822/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 70002,392,385,123,131,131,123,7,1,131,130,0,0,225370,217272,11,0
06-26 16:05:40.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 70000,366,382,126,120,120,126,0,1,120,135,0,0,207802,221621,11,0
06-26 16:05:40.636 11275-11834/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 70001,380,362,130,125,125,130,0,3,125,104,0,0,219069,217032,11,0
06-26 16:05:40.645 11275-11837/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 70000,374,376,128,123,123,128,0,1,123,124,0,0,215621,218806,11,0
06-26 16:05:40.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 70001,381,381,131,125,125,131,0,2,125,123,0,0,219830,222252,11,0
06-26 16:05:40.657 11275-11874/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 70001,369,373,131,119,119,131,0,3,119,120,0,0,210957,220949,11,0
06-26 16:05:50.570 11275-11913/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 80002,439,441,144,147,147,144,1,2,147,148,0,0,255559,251914,11,0
06-26 16:05:50.580 11275-11914/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 80002,446,438,149,148,148,149,1,1,148,140,0,0,258948,255012,11,0
06-26 16:05:50.588 11275-11915/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 80001,435,435,144,145,145,144,1,1,145,145,0,0,250872,252521,11,0
06-26 16:05:50.596 11275-11916/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 80002,438,438,145,146,146,144,1,0,146,148,0,0,251891,253057,11,0
06-26 16:05:50.607 11275-11917/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 80002,454,451,143,152,152,143,7,1,152,155,0,0,262407,253823,11,0
06-26 16:05:50.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 80000,428,443,146,141,141,146,0,1,141,155,0,0,244867,256980,11,0
