06-27 13:26:12.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0-header: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-27 13:26:42.446 30478-30888/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 30000,95,53,51,21,21,17,2,9,21,6,0,0,36789,25028,14,0
06-27 13:26:42.447 30478-30893/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 30000,181,118,45,55,55,21,26,1,55,41,0,0,82383,49571,11,0
06-27 13:26:42.457 30478-30898/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 30001,210,143,44,66,66,23,34,1,66,53,0,0,96040,54537,10,0
06-27 13:26:42.464 30478-30903/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_10: 30001,116,73,51,28,28,19,9,11,28,15,0,0,45907,32258,13,0
06-27 13:26:42.471 30478-30908/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_11: 30000,129,81,51,33,33,20,12,7,33,21,0,0,55903,35208,13,0
06-27 13:26:42.481 30478-30913/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_12: 30000,51,26,41,3,3,12,4,5,3,6,0,0,7746,16795,4,3
06-27 13:26:42.490 30478-30918/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_13: 30004,89,54,51,15,15,16,8,9,15,14,0,0,28587,24336,14,0
06-27 13:26:42.496 30478-30923/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_14: 30001,222,144,49,76,76,27,21,4,76,37,0,0,121434,58634,12,0
06-27 13:26:42.501 30478-30928/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_15: 30000,181,113,49,55,55,22,22,2,55,34,0,0,86969,49417,11,0
06-27 13:26:42.507 30478-30933/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_16: 30000,66,32,51,7,7,13,1,9,7,3,0,0,13645,15567,15,0
06-27 13:26:42.518 30478-30938/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_17: 30001,45,24,41,2,2,12,0,9,2,1,0,0,6904,14571,6,1
06-27 13:26:42.521 30478-30943/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_18: 30000,99,56,51,22,22,19,4,7,22,8,0,0,38709,27249,14,0
06-27 13:26:42.527 30478-30948/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_19: 30001,85,47,51,16,16,13,2,6,16,12,0,0,30887,19020,14,0
06-27 13:26:42.533 30478-30953/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_20: 30001,78,51,51,12,12,16,3,9,12,14,0,0,21463,25699,9,0
06-27 13:26:42.546 30478-30958/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_21: 30005,86,40,51,16,16,15,3,6,16,3,0,0,29726,20941,15,0
06-27 13:26:42.550 30478-30963/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_22: 30001,67,38,51,8,8,18,0,9,8,3,0,0,13827,25744,8,0
06-27 13:26:42.557 30478-30968/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_23: 30001,58,26,51,3,3,13,1,8,3,2,0,0,9202,15920,16,1
06-27 13:26:42.565 30478-30973/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_24: 30000,57,27,51,2,2,12,2,9,2,4,0,0,8796,16679,10,0
06-27 13:26:52.243 30478-30990/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 40001,177,95,67,45,45,16,20,1,45,33,0,0,78530,34791,12,5
06-27 13:26:52.369 30478-30991/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 40003,193,125,60,54,54,27,25,9,54,35,0,0,86782,53122,11,0
06-27 13:26:52.382 30478-30992/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 40001,135,82,71,29,29,29,6,14,29,10,0,0,56018,51323,13,0
06-27 13:26:52.394 30478-30993/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 40001,69,39,41,13,13,14,2,5,13,7,0,0,15541,17167,10,0
06-27 13:26:52.410 30478-30994/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 40002,102,47,71,15,15,20,1,8,15,4,0,0,30977,28791,12,0
06-27 13:26:52.420 30478-30995/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 40001,126,65,71,25,25,22,5,9,25,9,0,0,42944,37942,13,0
06-27 13:26:52.436 30478-30996/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 40009,263,180,52,88,88,31,35,2,88,59,0,0,127626,70675,8,2
