06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:16:50.596 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 740001,4142,3890,1445,1348,1348,1291,1,0,1348,1251,0,0,2388287,2271629,11,0
06-26 16:17:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 750000,4202,3933,1465,1368,1368,1306,1,0,1368,1259,0,0,2423677,2296989,11,0
06-26 16:17:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 760000,4254,3979,1485,1384,1384,1319,1,0,1384,1276,0,0,2452449,2321135,11,0
06-26 16:17:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 770000,4320,4029,1505,1407,1407,1331,1,0,1407,1291,0,0,2492836,2344235,11,0
06-26 16:17:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 780000,4384,4079,1525,1429,1429,1342,1,0,1429,1308,0,0,2531530,2366313,11,0
06-26 16:17:40.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 790000,4442,4124,1545,1448,1448,1355,1,0,1448,1321,0,0,2565243,2389918,11,0
06-26 16:17:50.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 800000,4504,4175,1565,1469,1469,1367,1,0,1469,1339,0,0,2602282,2413567,11,0
06-26 16:18:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 810000,4558,4222,1585,1486,1486,1380,1,0,1486,1356,0,0,2632691,2437847,11,0
06-26 16:18:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 820000,4612,4269,1605,1503,1503,1391,1,0,1503,1375,0,0,2663080,2459846,11,0
06-26 16:18:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 830000,4672,4316,1625,1523,1523,1405,1,0,1523,1388,0,0,2698440,2484886,11,0
